,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
1324,1323,Star Wars Battlefront II,Microsoft Xbox,LucasArts,Pandemic Studios,7.0,,1.67,2005
1329,1328,PGR: Project Gotham Racing 2,Microsoft Xbox,Microsoft,Bizarre Creations,8.9,,1.67,2003
1341,1340,NBA 2K15,Microsoft Xbox 360,2K Sports,Visual Concepts,,,1.66,2014
1349,1348,Need for Speed Carbon,Microsoft Xbox 360,Electronic Arts,EA Black Box,7.9,,1.65,2006
1351,1350,Watch Dogs,Microsoft Xbox One,Ubisoft,Ubisoft Montreal,7.8,5.9,1.64,2014
1353,1352,Army of Two,Microsoft Xbox 360,Electronic Arts,EA Montreal,6.7,,1.64,2008
1362,1361,ESPN NFL 2K5,Microsoft Xbox,Sega,Visual Concepts,9.4,,1.63,2004
1365,1364,Max Payne 3,Microsoft Xbox 360,Rockstar Games,Rockstar Vancouver,9.0,,1.63,2012
1369,1368,Kinectimals,Microsoft Xbox 360,Microsoft,Frontier Studio,7.5,,1.62,2010
1381,1380,Tom Clancy's Ghost Recon Wildlands,Microsoft Xbox One,Ubisoft,Ubisoft Paris,7.7,,1.61,2017
1383,1382,Rage,Microsoft Xbox 360,Bethesda Softworks,id Software,7.9,,1.6,2011
1384,1383,Gears of War: Judgment,Microsoft Xbox 360,Microsoft,People Can Fly / Epic Games,9.2,,1.6,2013
1385,1384,Madden NFL 15,Microsoft Xbox One,EA Sports,EA Tiburon,8.0,6.2,1.6,2014
1393,1392,Lost Planet: Extreme Condition,Microsoft Xbox 360,Capcom,Capcom,7.6,,1.6,2007
1401,1400,Just Cause 2,Microsoft Xbox 360,Square Enix,Avalanche Studios,8.0,,1.6,2010
1406,1405,LEGO Harry Potter: Years 1-4,Microsoft Xbox 360,Warner Bros. Interactive,Traveller's Tales,7.9,,1.59,2010
1407,1406,Far Cry 2,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,8.5,,1.59,2008
1412,1411,FIFA 16,Microsoft Xbox 360,EA Sports,EA Canada,9.0,,1.59,2015
1419,1418,Batman: Arkham Knight,Microsoft Xbox One,Warner Bros,Rocksteady Studios,8.5,6.8,1.58,2015
1441,1440,Mafia II,Microsoft Xbox 360,2K Games,Illusion Softworks,7.2,,1.56,2010
1443,1442,Tom Clancy's Rainbow Six 3,Microsoft Xbox,Ubisoft,Ubisoft Montreal / Red Storm Entertainment,9.3,,1.55,2003
1450,1449,Battlefield V,Microsoft Xbox One,Electronic Arts,EA DICE,7.8,2.6,1.55,2018
1451,1450,Need for Speed: Most Wanted (2012),Microsoft Xbox 360,Electronic Arts,Criterion Games,,,1.54,2012
1456,1455,Sonic the Hedgehog (2006),Microsoft Xbox 360,Sega,Sonic Team,4.8,4.8,1.54,2006
