,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
3105,209,Destiny,Sony Playstation 4,Activision,Bungie,7.6,6.1,5.76,2014
3106,210,Tekken 2,Sony PlayStation,Namco,Namco,9.1,,5.74,1996
3107,211,Uncharted: The Nathan Drake Collection,Sony Playstation 4,Sony,Bluepoint Games,8.6,8.5,5.7,2015
48,213,LEGO Star Wars: The Complete Saga,Nintendo Wii,LucasArts,Traveller's Tales,8.0,,5.66,2007
49,215,Tetris,NES,Nintendo,Nintendo,,,5.58,1989
3108,217,Assassin's Creed II,Sony PlayStation 3,Ubisoft,Ubisoft Montreal,9.0,,5.57,2009
50,218,Super Smash Bros.,Nintendo 64,Nintendo,HAL Laboratory,8.4,,5.55,1999
8799,219,Assassin's Creed,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,8.2,8.0,5.55,2007
3109,220,Batman: Arkham City,Sony PlayStation 3,Warner Bros,Rocksteady Studios,9.6,,5.54,2011
3110,223,Final Fantasy IX,Sony PlayStation,Square,SquareSoft,9.2,,5.5,2000
3111,224,Final Fantasy X-2,Sony PlayStation 2,Square Enix,Square Enix,8.3,,5.5,2003
8800,221,Forza Motorsport 3,Microsoft Xbox 360,Microsoft,Turn 10 Studios,9.2,9.8,5.5,2009
51,227,Super Mario Maker 2,Nintendo Switch,Nintendo,Nintendo,8.8,8.5,5.48,2019
52,228,Pokemon Stadium,Nintendo 64,Nintendo,HAL Laboratory,7.5,,5.46,2000
3112,230,Call of Duty: World at War,Sony PlayStation 3,Activision,Treyarch,8.4,,5.43,2008
8801,229,Minecraft,Microsoft Xbox One,Microsoft,Mojang,,,5.43,2014
3113,232,Crash Bandicoot: The Wrath of Cortex,Sony PlayStation 2,Universal Interactive,Traveller's Tales,6.9,,5.42,2001
53,233,Super Smash Bros. for Wii U,Nintendo Wii U,Nintendo,Bandai Namco Games,9.2,8.9,5.37,2014
3114,234,Final Fantasy XIII,Sony PlayStation 3,Square Enix,Square Enix,8.0,9.2,5.35,2010
3115,235,Gran Turismo 5 Prologue,Sony PlayStation 3,Sony,Polyphony Digital,8.3,,5.35,2008
8802,237,Assassin's Creed III,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,8.5,,5.31,2012
8803,239,Assassin's Creed II,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,9.1,,5.3,2009
54,241,Donkey Kong 64,Nintendo 64,Nintendo,Rare Ltd.,9.3,,5.27,1999
55,242,Just Dance 2,Nintendo Wii,Ubisoft,Ubisoft Paris,7.3,,5.25,2010
3116,243,Tomb Raider II,Sony PlayStation,Eidos Interactive,Core Design Ltd.,7.6,,5.24,1997
3117,244,Madden NFL 2004,Sony PlayStation 2,EA Sports,EA Tiburon,9.5,,5.23,2003
3118,247,Gran Turismo 6,Sony PlayStation 3,Sony,Polyphony Digital,,,5.22,2013
8804,245,Call of Duty: Advanced Warfare,Microsoft Xbox One,Activision,Sledgehammer Games,8.3,5.5,5.22,2014
56,249,Nintendo Land,Nintendo Wii U,Nintendo,Nintendo,7.8,7.9,5.2,2012
3119,248,Kingdom Hearts II,Sony PlayStation 2,Square Enix,Square Enix,8.3,,5.2,2006
57,251,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,9.3,,5.15,1995
3120,252,Medal of Honor: Rising Sun,Sony PlayStation 2,Electronic Arts,EA Los Angeles,5.9,,5.13,2003
8805,253,Battlefield 1,Microsoft Xbox One,Electronic Arts,EA DICE,9.3,7.6,5.13,2016
3121,256,Guitar Hero II,Sony PlayStation 2,RedOctane,Harmonix Music Systems,9.2,,5.12,2006
8806,257,FIFA 13,Microsoft Xbox 360,EA Sports,EA Canada,,,5.11,2012
3122,258,Resident Evil 5,Sony PlayStation 3,Capcom,Capcom,8.6,8.8,5.1,2009
8807,259,Fable III,Microsoft Xbox 360,Microsoft,Lionhead Studios,7.8,,5.1,2010
3123,262,FIFA Soccer 11,Sony PlayStation 3,EA Sports,EA Canada,8.7,,5.08,2010
3124,264,Final Fantasy XV,Sony Playstation 4,Square Enix,Square Enix,8.1,9.5,5.07,2016
8808,265,Fallout 4,Microsoft Xbox One,Bethesda Softworks,Bethesda Game Studios,8.4,6.4,5.03,2015
3125,266,Tony Hawk's Pro Skater,Sony PlayStation,Activision,Neversoft Entertainment,9.6,,5.02,1999
3126,267,Warzone 2100,Sony PlayStation,Eidos Interactive,Pumpkin Studios,7.5,,5.01,1999
3127,268,Spyro the Dragon,Sony PlayStation,Sony,Insomniac Games,8.7,,5.0,1998
8809,269,Gears of War,Microsoft Xbox 360,Microsoft,Epic Games,9.4,9.4,5.0,2006
8810,270,Gears of War 2,Microsoft Xbox 360,Microsoft,Epic Games,9.4,9.5,5.0,2008
8811,271,Halo 5: Guardians,Microsoft Xbox One,Microsoft,343 Industries,8.6,6.4,5.0,2015
8812,272,Halo: Combat Evolved,Microsoft Xbox,Microsoft,Bungie Studios,9.5,,5.0,2001
3128,273,Guitar Hero III: Legends of Rock,Sony PlayStation 2,RedOctane,BudCat Creations,8.2,,4.98,2007
3129,274,Uncharted: Drake's Fortune,Sony PlayStation 3,Sony,Naughty Dog,8.7,8.6,4.97,2007
3130,275,Resident Evil 2,Sony PlayStation,Capcom,Capcom,9.3,,4.96,1998
8813,276,Fallout 3,Microsoft Xbox 360,Bethesda Softworks,Bethesda Game Studios,9.0,8.6,4.96,2008
58,277,Splatoon,Nintendo Wii U,Nintendo,Nintendo EAD,8.4,8.7,4.95,2015
3131,278,Madden NFL 06,Sony PlayStation 2,EA Sports,EA Tiburon,9.1,,4.91,2005
3132,280,Dragon Quest VIII: Journey of the Cursed King,Sony PlayStation 2,Square Enix,Level 5 / Armor Project,8.6,,4.9,2005
59,282,Diddy Kong Racing,Nintendo 64,Nintendo,Rare Ltd.,8.3,,4.88,1997
60,285,Dr. Mario,NES,Nintendo,Nintendo R&D1,,,4.85,1990
8814,284,Call of Duty: Black Ops IIII,Microsoft Xbox One,Activision,Treyarch,,,4.85,2018
3133,286,Crash Bandicoot N. Sane Trilogy,Sony Playstation 4,Activision,Vicarious Visions,8.0,8.5,4.83,2017
3134,287,Assassin's Creed,Sony PlayStation 3,Ubisoft,Ubisoft Montreal,8.2,8.5,4.83,2007
3135,289,Crash Team Racing,Sony PlayStation,Sony,Naughty Dog,9.2,,4.79,1999
8815,288,Call of Duty: Infinite Warfare,Microsoft Xbox One,Activision,Infinity Ward,7.8,3.6,4.79,2016
8816,292,Batman: Arkham City,Microsoft Xbox 360,Warner Bros,Rocksteady Studios,9.5,,4.75,2011
3136,293,Driver 2,Sony PlayStation,Atari,Reflections Interactive,7.0,,4.73,2000
3137,294,The Simpsons: Hit & Run,Sony PlayStation 2,VU Games,Radical Entertainment,7.7,,4.7,2003
3138,296,Tony Hawk's Pro Skater 2,Sony PlayStation,Activision,Neversoft Entertainment,9.3,,4.68,2000
3139,298,The Lord of the Rings: The Two Towers,Sony PlayStation 2,Electronic Arts,Stormfront Studios,8.3,,4.67,2002
3140,299,Tomb Raider,Sony PlayStation,Eidos Interactive,Core Design Ltd.,8.9,,4.63,1996
3141,300,God of War,Sony PlayStation 2,Sony,SCEA Santa Monica Studio,9.3,,4.62,2005
61,301,The Legend of Zelda: A Link to the Past,SNES,Nintendo,Nintendo EAD,10.0,,4.61,1992
