,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
539,538,Personal Trainer: Cooking,Nintendo DS,Nintendo,Nintendo EAD,8.4,,3.18,2008
544,543,Club Penguin: Elite Penguin Force,Nintendo DS,Disney Interactive Studios,1st Playable Productions,7.0,,3.14,2008
550,549,Star Wars Episode I Racer,Nintendo 64,LucasArts,LucasArts,8.7,,3.12,1999
552,551,Yoshi,Game Boy,Nintendo,Game Freak,,,3.12,1992
557,556,Mario Party 9,Nintendo Wii,Nintendo,"Nd Cube Co., Ltd.",6.5,,3.11,2012
559,558,The Legend of Zelda: Majora's Mask 3D,Nintendo 3DS,Nintendo,GREZZO,9.0,8.9,3.09,2015
561,560,World Class Track Meet,Nintendo Entertainment System,Bandai,Bandai,,,3.08,1987
562,561,LEGO Batman: The Videogame,Nintendo Wii,Warner Bros. Interactive,Traveller's Tales,7.3,,3.08,2008
564,563,Donkey Kong,Game Boy,Nintendo,Nintendo EAD,,,3.07,1994
567,566,LEGO Batman: The Videogame,Nintendo DS,Warner Bros. Interactive,Traveller's Tales,7.8,,3.06,2008
569,568,New Super Luigi U,Nintendo Wii U,Nintendo,Nintendo,7.8,8.0,3.05,2013
572,571,Rhythm Heaven,Nintendo DS,Nintendo,Nintendo SPD Group No.1,8.5,,3.04,2009
576,575,Mike Tyson's Punch-Out!!,Nintendo Entertainment System,Nintendo,Nintendo IRD,,,3.02,1987
577,576,Professor Layton and the Unwound Future,Nintendo DS,Nintendo,Level 5,8.4,,3.02,2010
579,578,Disney Epic Mickey,Nintendo Wii,Disney Interactive Studios,Junction Point Studios,7.0,,3.02,2010
581,580,1-2-Switch,Nintendo Switch,Nintendo,Nintendo EPD,5.7,,3.01,2017
589,588,Sonic and the Secret Rings,Nintendo Wii,Sega,Sonic Team,6.7,,3.0,2007
590,589,Sonic Rush,Nintendo DS,Sega,Dimps Corporation,7.8,,3.0,2005
595,594,Kirby Super Star Ultra,Nintendo DS,Nintendo,HAL Laboratory,7.3,,2.99,2008
596,595,Star Fox,Super Nintendo Entertainment System,Nintendo,Argonaut Games,,,2.99,1993
600,599,Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo DS,Nintendo,Nintendo Software Technology Corporation,7.8,,2.98,2010
601,600,Style Savvy,Nintendo DS,Nintendo,syn Sophia,7.6,,2.98,2009
603,602,Yokai Watch,Nintendo 3DS,Nintendo,Level 5,7.7,,2.97,2015
604,603,The Legend of Zelda: Spirit Tracks,Nintendo DS,Nintendo,Nintendo EAD,8.7,,2.96,2009
607,606,Yokai Watch 2: Psychic Specters,Nintendo 3DS,Nintendo,Level 5,,,2.95,2017
611,610,Fire Emblem Fates,Nintendo 3DS,Nintendo,Intelligent Systems,,,2.94,2016
612,611,Wave Race 64,Nintendo 64,Nintendo,Nintendo EAD,9.2,,2.94,1996
613,612,Pac-Man Collection,Game Boy Advance,Namco,Mass Media,9.0,,2.94,2001
614,613,Pokemon Ranger,Nintendo DS,Nintendo,HAL Laboratory,6.6,,2.93,2006
621,620,Final Fantasy III,Super Nintendo Entertainment System,Square,SquareSoft,9.1,,2.9,1994
625,624,Cooking Mama: Cook Off,Nintendo Wii,Majesco,Office Create,5.9,,2.89,2007
629,628,Imagine: Babyz,Nintendo DS,Ubisoft,Visual Impact,3.5,,2.87,2007
630,629,Fire Emblem: Three Houses,Nintendo Switch,Nintendo,Intelligent Systems,8.9,8.7,2.87,2019
634,633,Wii Music,Nintendo Wii,Nintendo,Nintendo EAD,5.6,,2.86,2008
639,638,F-Zero,Super Nintendo Entertainment System,Nintendo,Nintendo EAD,,,2.85,1991
640,639,Yoshi's Story,Nintendo 64,Nintendo,Nintendo EAD,,,2.85,1998
642,641,Metroid Prime,Nintendo GameCube,Nintendo,Retro Studios,9.6,9.5,2.84,2002
643,642,Zumba Fitness 2,Nintendo Wii,Majesco,"Pipeworks Software, Inc.",,,2.83,2011
646,645,Mario Party: Island Tour,Nintendo 3DS,Nintendo,"Nd Cube Co., Ltd.",5.5,6.0,2.83,2013
647,646,Yoshi's Island: Super Mario Advance 3,Game Boy Advance,Nintendo,Nintendo EAD,,,2.83,2002
649,648,Finding Nemo,Game Boy Advance,THQ,Vicarious Visions,7.0,,2.82,2003
652,651,The Legend of Zelda: A Link to the Past,Game Boy Advance,Nintendo,"Flagship Co., Ltd. / Nintendo EAD",9.6,,2.82,2002
655,654,Imagine: Fashion Designer,Nintendo DS,Ubisoft,Virtual Toys / Lexis Numerique,3.0,,2.81,2007
659,658,Dragon Quest V: Tenkuu no Hanayome,Super Nintendo Entertainment System,Enix,ChunSoft,,,2.8,1992
664,663,Skylanders: Spyro's Adventure,Nintendo Wii,Activision,Toys for Bob,8.0,,2.79,2011
674,673,Donkey Kong Country Returns 3D,Nintendo 3DS,Nintendo,Monster Games,8.6,8.3,2.76,2013
678,677,Mario Tennis Aces,Nintendo Switch,Nintendo,Camelot Software Planning,7.8,7.1,2.75,2018
681,680,Tetris DS,Nintendo DS,Nintendo,Nintendo,8.5,,2.74,2006
683,682,Metroid,Nintendo Entertainment System,Nintendo,Nintendo R&D1,8.0,,2.73,1987
684,683,Ring Fit Adventure,Nintendo Switch,Nintendo,Nintendo EPD,8.3,8.8,2.73,2019
686,685,"Pokemon: Let's Go, Eevee!",Nintendo Switch,Nintendo,Game Freak,8.3,6.1,2.73,2018
696,695,Mario Party,Nintendo 64,Nintendo,Hudson Soft,7.6,,2.7,1999
710,709,Hannah Montana,Nintendo DS,Buena Vista,DC Studios,6.5,,2.65,2006
713,712,Star Wars: Shadows of the Empire,Nintendo 64,Nintendo,LucasArts,6.5,,2.65,1996
714,713,Super Mario Bros. 2 (FDS),Nintendo Entertainment System,Nintendo,Nintendo EAD,8.5,8.1,2.65,1986
720,719,Mario & Luigi: Dream Team,Nintendo 3DS,Nintendo,AlphaDream Corporation,8.0,8.1,2.63,2013
727,726,Mario Strikers Charged,Nintendo Wii,Nintendo,Next Level Games,7.7,,2.6,2007
728,727,Monster Hunter 3G,Nintendo 3DS,Capcom,Capcom,7.6,,2.6,2013
732,731,Mario + Rabbids: Kingdom Battle,Nintendo Switch,Ubisoft,Ubisoft Milan,8.3,8.5,2.59,2017
739,738,Skylanders Giants,Nintendo Wii,Activision,Toys for Bob,8.0,,2.58,2012
