,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
14911,14910,Philosoma,Sony PlayStation,Sony Computer Entertainment,G Artist,5.0,,0.05,1996
15228,15227,Rimo-Cocoron,Sony PlayStation 2,Sony Computer Entertainment,Sony Computer Entertainment,,,0.05,2001
15341,15340,That's You!,Sony Playstation 4,Sony Interactive Entertainment,Wish Studio,7.0,7.1,0.04,2017
15368,15367,I.Q. Remix+: Intelligent Qube,Sony PlayStation 2,Sony Computer Entertainment,SCEA,,,0.04,2000
15468,15467,Heavy Rain: Move Edition,Sony PlayStation 3,Sony Computer Entertainment,Quantic Dream,,,0.04,2010
15628,15627,PlayStation Move Ape Escape,Sony PlayStation 3,Sony Computer Entertainment,SCE Japan Studio,4.0,,0.04,2011
15667,15666,Here They Lie,Sony Playstation 4,Sony Interactive Entertainment,Tangentlemen,6.2,6.8,0.04,2016
15737,15736,Shadow of the Colossus,Sony PlayStation 3,Sony Computer Entertainment,Bluepoint Games,,,0.04,2011
15902,15901,Aquanaut's Holiday: Kakusareta Kiroku,Sony PlayStation 3,Sony Computer Entertainment,ArtDink,,,0.04,2008
15947,15946,The Persistence,Sony Playstation 4,Sony Interactive Entertainment,Firesprite,7.8,8.1,0.04,2018
15960,15959,Formula 1 06,Sony PlayStation 2,Sony Computer Entertainment,Studio Liverpool,,,0.04,2006
16095,16094,InFAMOUS: First Light,Sony Playstation 4,Sony Computer Entertainment,Sucker Punch Productions,,,0.03,2014
16149,16148,Gacharoku,Sony PlayStation 2,Sony Computer Entertainment,Agenda,,,0.03,2002
16708,16707,SingStar Fussballhits,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,,,0.03,2010
16733,16732,SingStar Chartbreaker,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,,,0.03,2009
16767,16766,The Last Guy,Sony PlayStation 3,Sony Computer Entertainment,SCE Japan Studio,9.0,,0.03,2008
16805,16804,God of War III Remastered,Sony Playstation 4,Sony Computer Entertainment Europe,SCEA Santa Monica Studio,8.1,8.0,0.03,2015
16855,16854,Hermie Hopperhead: Scrap Panic,Sony PlayStation,Sony Computer Entertainment,Yuke's Media Creations,,,0.03,1995
17113,17112,Super Stardust Ultra VR,Sony Playstation 4,Sony Interactive Entertainment,d3t Ltd,6.6,6.4,0.02,2016
17122,17121,Peter Pan in Disney's Return to Never Land,Sony PlayStation,Sony Computer Entertainment,Doki Denki,5.3,,0.02,2002
17147,17146,PaRappa the Rapper Remastered,Sony Playstation 4,Sony Interactive Entertainment,SIE Japan Studio,6.1,5.3,0.02,2017
17395,17394,GunParade Orchestra: Midori no Shou,Sony PlayStation 2,Sony Computer Entertainment,Alfa System,,,0.02,2006
17442,17441,No Heroes Allowed! VR,Sony Playstation 4,Sony Interactive Entertainment,Acquire,,,0.02,2017
17478,17477,Aquanaut's Holiday,Sony PlayStation,Sony Computer Entertainment,ArtDink,8.0,,0.02,1995
17555,17554,Gravity Rush Remastered,Sony Playstation 4,Sony Computer Entertainment Europe,Bluepoint Games,8.0,8.1,0.02,2016
17626,17625,Patapon Remastered,Sony Playstation 4,Sony Interactive Entertainment,SIE Japan Studio,,,0.02,2017
17727,17726,Invizimals: The Lost Kingdom,Sony PlayStation 3,Sony Computer Entertainment,Novarama,,,0.02,2014
17872,17871,Tail of the Sun,Sony PlayStation,Sony Computer Entertainment,ArtDink,7.0,,0.02,1997
17904,17903,NBA 07,Sony PlayStation 2,Sony Computer Entertainment,SCE San Diego Studio,,,0.02,2006
17916,17915,Starhawk,Sony PlayStation 3,Sony Computer Entertainment,LightBox Interactive,,,0.02,2012
18296,18295,GunParade Orchestra: Ao no Shou,Sony PlayStation 2,Sony Computer Entertainment,Alfa System,,,0.01,2006
18473,18472,Toro to Morimori,Sony PlayStation 3,Sony Computer Entertainment,SCEI,,,0.01,2009
18508,18507,Resistance Dual Pack,Sony PlayStation 3,Sony Computer Entertainment,Insomniac Games,,,0.01,2011
19077,19076,LocoRoco Remastered,Sony Playstation 4,Sony Interactive Entertainment,SIE Japan Studio,,,0.01,2017
19251,19250,PAIN,Sony PlayStation 3,Sony Computer Entertainment,Idol Minds Digital,,,0.01,2009
19313,19312,Derby Time Online,Sony PlayStation 3,Sony Computer Entertainment,SCE Japan Studio,,,0.01,2008
19385,19384,MotorStorm Complete,Sony PlayStation 3,Sony Computer Entertainment,Evolution Studios,,,0.01,2008
