,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
3347,3346,Conker: Live And Reloaded,Microsoft Xbox,Microsoft Game Studios,Rare Ltd.,8.1,,0.71,2005
3401,3400,Jade Empire,Microsoft Xbox,Microsoft Game Studios,BioWare Corp.,9.0,,0.7,2005
3438,3437,Halo 2 Multiplayer Map Pack,Microsoft Xbox,Microsoft Game Studios,Bungie Studios,8.6,,0.69,2005
3611,3610,Scene It? Box Office Smash,Microsoft Xbox 360,Microsoft Game Studios,Krome Studios / Screenlife Games,7.6,,0.65,2008
3744,3743,Kinect Sports Rivals,Microsoft Xbox One,Microsoft Studios,Rare Ltd.,7.3,5.0,0.62,2014
3806,3805,NFL Fever 2003,Microsoft Xbox,Microsoft Game Studios,Microsoft Game Studios,7.7,,0.61,2002
3906,3905,PGR3 - Project Gotham Racing 3,Microsoft Xbox 360,Microsoft Game Studios,Bizarre Creations,8.8,,0.6,2005
3978,3977,Kinect Rush: A Disney Pixar Adventure,Microsoft Xbox 360,Microsoft Studios,Asobo Studio,6.0,,0.58,2012
4085,4084,Midtown Madness 3,Microsoft Xbox,Microsoft Game Studios,Digital Illusions,8.7,,0.57,2003
4089,4088,Blood Wake,Microsoft Xbox,Microsoft,Stormfront Studios,8.4,,0.57,2001
4179,4178,Blinx: The Time Sweeper,Microsoft Xbox,Microsoft Game Studios,Artoon,6.8,,0.56,2002
4253,4252,Lips: Number One Hits,Microsoft Xbox 360,Microsoft Game Studios,iNiS,7.5,,0.55,2009
4482,4481,Halo Wars 2,Microsoft Xbox One,Microsoft Studios,Creative Assembly,7.9,6.0,0.51,2017
4722,4721,You're in the Movies,Microsoft Xbox 360,Microsoft,Zoe Mode,5.1,,0.48,2008
4724,4723,Scene It? Lights Camera Action,Microsoft Xbox 360,Microsoft Game Studios,WXP / Screenlife Games,,,0.48,2007
4729,4728,Zoo Tycoon (2013),Microsoft Xbox One,Microsoft Studios,Frontier Developments,,,0.48,2013
4810,4809,Shadowrun (2007),Microsoft Xbox 360,Microsoft Game Studios,FASA Studio,6.3,,0.47,2007
4821,4820,Viva Pinata: Trouble in Paradise,Microsoft Xbox 360,Microsoft Game Studios,Rare Ltd.,8.5,,0.47,2008
4908,4907,State of Decay 2,Microsoft Xbox One,Microsoft Studios,Undead Labs,7.0,5.4,0.46,2018
4930,4929,Top Spin,Microsoft Xbox,Microsoft Game Studios,Pam Development,,,0.46,2003
4989,4988,Fable Anniversary,Microsoft Xbox 360,Microsoft Studios,Lionhead Studios,,,0.45,2014
5397,5396,RalliSport Challenge 2,Microsoft Xbox,Microsoft Game Studios,Digital Illusions,9.2,,0.41,2004
5480,5479,The Gunstringer,Microsoft Xbox 360,Microsoft Studios,Twisted Pixel Games,7.6,,0.4,2011
5786,5785,NBA Inside Drive 2002,Microsoft Xbox,Microsoft,High Voltage Software,8.7,,0.37,2002
5796,5795,Kingdom Under Fire: Circle of Doom,Microsoft Xbox 360,Microsoft,Blue Side,5.8,,0.37,2008
5940,5939,MechAssault 2: Lone Wolf,Microsoft Xbox,Microsoft Game Studios,Day 1 Studios,8.9,,0.36,2004
5973,5972,Kinectimals: Now with Bears!,Microsoft Xbox 360,Microsoft Studios,Frontier Developments,,,0.36,2011
6035,6034,Xbox Music Mixer,Microsoft Xbox,Microsoft,WildTangent,,,0.35,2003
6143,6142,Tenchu Z,Microsoft Xbox 360,Microsoft,K2 LLC,5.7,,0.34,2007
6168,6167,Kameo: Elements of Power,Microsoft Xbox 360,Microsoft Game Studios,Rare Ltd.,7.7,,0.34,2005
6220,6219,Ninja Blade,Microsoft Xbox 360,Microsoft,From Software,6.7,,0.33,2009
6449,6448,NFL Fever 2004,Microsoft Xbox,Microsoft Game Studios,Microsoft Game Studios,7.5,,0.32,2003
6455,6454,Kingdom Under Fire: The Crusaders,Microsoft Xbox,Microsoft,Phantagram,8.2,,0.32,2004
6475,6474,Shenmue II,Microsoft Xbox,Microsoft,Sega-AM2,7.9,,0.32,2002
6507,6506,NBA Inside Drive 2003,Microsoft Xbox,Microsoft Game Studios,High Voltage Software,8.2,,0.31,2002
6745,6744,N3: Ninety-Nine Nights,Microsoft Xbox 360,Microsoft Game Studios,Q Entertainment / Phantagram,6.3,,0.3,2006
6760,6759,Fable: The Journey,Microsoft Xbox 360,Microsoft Studios,Lionhead Studios,7.2,,0.29,2012
6771,6770,Gears of War Triple Pack,Microsoft Xbox 360,Microsoft Game Studios,Epic Games,,,0.29,2011
6910,6909,Links 2004,Microsoft Xbox,Microsoft Game Studios,Indie Built,7.5,,0.29,2003
6975,6974,Kung Fu Chaos,Microsoft Xbox,Microsoft Game Studios,Just Add Monsters,7.0,,0.28,2003
7102,7101,Tao Feng: Fist of the Lotus,Microsoft Xbox,Microsoft Game Studios,Studio Gigante,8.7,,0.27,2003
7454,7453,ReCore,Microsoft Xbox One,Microsoft Studios,Armature Studio,6.3,6.7,0.26,2016
7521,7520,Exhibition,Microsoft Xbox,Microsoft,Various,,,0.25,2002
7523,7522,Amped 2,Microsoft Xbox,Microsoft Game Studios,Indie Built,9.0,,0.25,2003
7778,7777,Azurik: Rise of Perathia,Microsoft Xbox,Microsoft,Adrenium,6.5,,0.24,2001
7912,7911,Viva Pinata: Party Animals,Microsoft Xbox 360,Microsoft Game Studios,Krome Studios,5.5,,0.23,2007
8283,8282,Super Lucky's Tale,Microsoft Xbox One,Microsoft Studios,Playful Corp.,6.5,6.9,0.22,2017
8442,8441,State of Decay: Year One Survival Edition,Microsoft Xbox One,Microsoft Studios,Undead Labs,7.2,6.8,0.21,2015
8888,8887,Sudeki,Microsoft Xbox,Microsoft Game Studios,Climax Group,7.8,,0.19,2004
9033,9032,Star Wars: The Clone Wars & Tetris Worlds,Microsoft Xbox,Microsoft,Various,,,0.19,2003
9230,9229,Lips: Party Classics,Microsoft Xbox 360,Microsoft Game Studios,iNiS,7.3,,0.18,2010
9285,9284,Project Spark,Microsoft Xbox One,Microsoft Studios,Team Dakota,7.3,6.9,0.17,2014
9322,9321,NBA Inside Drive 2004,Microsoft Xbox,Microsoft Game Studios,High Voltage Software,8.4,,0.17,2003
9343,9342,Rush: A Disney Pixar Adventure,Microsoft Xbox One,Microsoft Studios,Asobo Studio,,,0.17,2017
9351,9350,Exhibition Volume 02,Microsoft Xbox,Microsoft,Various,,,0.17,2003
9471,9470,Fuzion Frenzy 2,Microsoft Xbox 360,Microsoft,Hudson Soft,6.0,,0.17,2007
9811,9810,Halo Triple Pack,Microsoft Xbox,Microsoft Game Studios,Bungie Studios,,,0.16,2005
9884,9883,Blinx 2: Masters of Time & Space,Microsoft Xbox,Microsoft Game Studios,Artoon,6.8,,0.15,2004
9919,9918,Kingdom Under Fire: Heroes,Microsoft Xbox,Microsoft,Phantagram,8.5,,0.15,2005
9937,9936,Project Sylpheed: Arc of Deception,Microsoft Xbox 360,Microsoft,Game Arts / Seta Corporation,6.7,,0.15,2007
10182,10181,Grabbed by the Ghoulies,Microsoft Xbox,Microsoft Game Studios,Rare Ltd.,7.0,,0.14,2003
10282,10281,OutRun 2,Microsoft Xbox,Microsoft,Sumo Digital,,,0.14,2004
10552,10551,Lips: I Love The 80s,Microsoft Xbox 360,Microsoft Game Studios,iNiS,,,0.14,2010
10802,10801,NightCaster,Microsoft Xbox,Microsoft,Jaleco Entertainment,,,0.13,2002
10982,10981,Quantum Redshift,Microsoft Xbox,Microsoft Game Studios,Curly Monsters,6.2,,0.13,2002
11137,11136,Voodoo Vince,Microsoft Xbox,Microsoft Game Studios,Beep Industries,7.6,,0.12,2003
11330,11329,MLB Inside Pitch 2003,Microsoft Xbox,Microsoft Game Studios,Microsoft Game Studios,,,0.12,2003
11748,11747,NHL Rivals 2004,Microsoft Xbox,Microsoft Game Studios,Microsoft Game Studios,6.5,,0.11,2003
11849,11848,Killer Instinct (2013),Microsoft Xbox One,Microsoft Studios,Iron Galaxy,,,0.11,2014
12276,12275,Sneakers,Microsoft Xbox,Microsoft Game Studios,Media.Vision,2.0,,0.1,2002
12290,12289,Exhibition Volume 03,Microsoft Xbox,Microsoft,Various,,,0.1,2003
12454,12453,Whacked!,Microsoft Xbox,Microsoft Game Studios,Presto Studios,6.6,,0.09,2002
13236,13235,Zoo Tycoon (2013),Microsoft Xbox 360,Microsoft Studios,Frontier Developments,,,0.08,2013
13559,13558,Exhibition Volume 4,Microsoft Xbox,Microsoft,Various,,,0.07,2003
13663,13662,Disneyland Adventures,Microsoft Xbox One,Microsoft Studios,Asobo Studio,6.7,6.9,0.07,2017
13835,13834,Xbox Live Arcade Unplugged Volume 1,Microsoft Xbox 360,Microsoft,Various,7.4,,0.07,2006
14333,14332,Exhibition Volume 5,Microsoft Xbox,Microsoft,Various,,,0.06,2004
15151,15150,Kakuto Chojin,Microsoft Xbox,Microsoft Game Studios,DreamFactory,6.2,,0.05,2002
15270,15269,Lips: Deutsche Partyknaller,Microsoft Xbox 360,Microsoft Game Studios,iNiS,,,0.05,2009
15346,15345,Forza Motorsport 3: Ultimate Collection,Microsoft Xbox 360,Microsoft Game Studios,Turn 10 Studio,,,0.04,2010
15500,15499,Nike+ Kinect Training,Microsoft Xbox 360,Microsoft Studios,Sumo Digital,,,0.04,2012
16260,16259,Project Gotham Racing 2 (JP weekly sales),Microsoft Xbox,Microsoft Game Studios,Bizarre Creations,,,0.03,2003
16620,16619,Triple Pack: Xbox Live Arcade Compilation,Microsoft Xbox 360,Microsoft,Various,,,0.03,2011
16839,16838,Hellblade: Senua's Sacrifice,Microsoft Xbox One,Microsoft Studios,Ninja Theory,8.8,7.3,0.03,2018
18060,18059,Exhibition Volume 6,Microsoft Xbox,Microsoft,Various,,,0.02,2004
18612,18611,RalliSport Challenge (JP sales),Microsoft Xbox,Microsoft,Digital Illusions,,,0.01,2002
18983,18982,ScreamRide,Microsoft Xbox One,Microsoft Studios,Frontier Developments,7.1,4.8,0.01,2015
